Metodo,Patch,PPG_BPM,ECG_BPM,PPG_iRPM,PRE_iRPM,FS,Tempo,SQI1,SQI2
ICA,104,36.8859,62.3785,0,30.0,60.0,10,0.6083701364314994,0.0012115496151286625
ICA,107,77.2349,62.3785,0,30.0,60.0,10,0.4075478872326811,0.0006259930626420279
ICA,108,44.6174,62.3785,0,30.0,60.0,10,0.5393489419227024,9.283484273221044e-05
ICA,109,52.1879,62.3785,0,30.0,60.0,10,0.5378586622865044,0.0002792861161806652
ICA,135,49.047,62.3785,0,30.0,60.0,10,0.47483161994675593,0.00015002106632071456
ICA,151,42.2819,62.3785,0,30.0,60.0,10,0.527507410683902,0.0008973195221284498
ICA,18,50.4966,62.3785,0,30.0,60.0,10,0.5800244453897643,5.059647133114749e-05
ICA,188,40.7517,62.3785,0,30.0,60.0,10,0.70406441600552,0.001471020861518217
ICA,199,41.7987,62.3785,0,30.0,60.0,10,0.581565135763265,0.00042274102911519736
ICA,266,123.302,62.3785,0,30.0,60.0,10,0.6800350924537228,0.00016977211877075837
ICA,280,128.1342,62.3785,0,30.0,60.0,10,0.48257953590479674,0.000889543677705777
ICA,299,71.9195,62.3785,0,30.0,60.0,10,0.5494037327535005,4.2226183484103865e-05
ICA,330,46.3893,62.3785,0,30.0,60.0,10,0.7072643408400787,0.0005537364522737
ICA,333,45.9866,62.3785,18.5567,30.0,60.0,10,0.6313153936729927,0.00034548243706779736
ICA,336,76.349,62.3785,0,30.0,60.0,10,0.3489829930554714,0.0008460564652960388
ICA,337,42.3624,62.3785,0,30.0,60.0,10,0.646541777461545,0.00026409732093330654
ICA,338,36.3221,62.3785,0,30.0,60.0,10,0.45867941154341196,0.001082008458676408
ICA,347,43.5705,62.3785,0,30.0,60.0,10,0.5681123947993164,0.0012254253988328652
ICA,36,37.2886,62.3785,0,30.0,60.0,10,0.38506228719036195,0.00013600916276020384
ICA,364,46.0671,62.3785,0,30.0,60.0,10,0.44948686025623585,0.0006466662116252146
ICA,4,61.1275,62.3785,0,30.0,60.0,10,0.5819091740529256,0.0002032253413105275
ICA,50,102.443,62.3785,18.5567,30.0,60.0,10,0.4905910982582081,0.0004908763768250959
ICA,6,58.8725,62.3785,0,30.0,60.0,10,0.4208838555054659,0.0001457053981958609
ICA,69,122.8188,62.3785,0,30.0,60.0,10,0.43932202043826873,1.0173576851535493e-05
ICA,9,116.6174,62.3785,0,30.0,60.0,10,0.40895545042206527,0.0008071883218254458
LGI,10,41.2349,62.3785,0,30.0,60.0,10,0.5423036491843091,0.0005528220138509162
LGI,101,42.8456,62.3785,0,30.0,60.0,10,0.4816935573545571,0.00023199356256841736
LGI,104,41.396,62.3785,0,30.0,60.0,10,0.5983778632403727,0.0007758053485642113
LGI,107,41.4765,62.3785,0,30.0,60.0,10,0.45712250441198765,0.0001606908069154724
LGI,108,41.8792,62.3785,0,30.0,60.0,10,0.608226943069093,0.0005300940200117308
LGI,109,47.1141,62.3785,0,30.0,60.0,10,0.5617226666476567,5.391905790325782e-05
LGI,135,127.5705,62.3785,0,30.0,60.0,10,0.38672564204279536,8.74264324534904e-06
LGI,151,132.1611,62.3785,0,30.0,60.0,10,0.4730104781968174,0.0005507850649508613
LGI,18,120.4832,62.3785,0,30.0,60.0,10,0.5644604415309058,0.0017513577684749881
LGI,188,39.6242,62.3785,0,30.0,60.0,10,0.6340977908911962,0.0006810298398677685
LGI,199,37.3691,62.3785,0,30.0,60.0,10,0.5517338872076791,0.0005550266303022734
LGI,266,43.5705,62.3785,0,30.0,60.0,10,0.5390154608955391,0.0011480163005597004
LGI,280,49.9329,62.3785,0,30.0,60.0,10,0.5207785969949539,0.0012472704801631965
LGI,299,40.1074,62.3785,0,30.0,60.0,10,0.4606173131836516,0.00024969751772308517
LGI,330,45.4228,62.3785,0,30.0,60.0,10,0.6701815083942444,0.00046472426347994366
LGI,333,41.7181,62.3785,0,30.0,60.0,10,0.51276128263735,0.003492497424429587
LGI,336,118.2282,62.3785,0,30.0,60.0,10,0.45663715057585663,0.0005518952507180398
LGI,337,129.0201,62.3785,0,30.0,60.0,10,0.419593627488151,0.00019683817811981037
LGI,338,122.7383,62.3785,0,30.0,60.0,10,0.5751255020375179,0.00019534345278927464
LGI,347,75.302,62.3785,0,30.0,60.0,10,0.5043725666076144,0.00012637094444037698
LGI,36,50.9799,62.3785,0,30.0,60.0,10,0.5302522898567392,0.00016118981093339916
LGI,364,76.7517,62.3785,0,30.0,60.0,10,0.5543995879133847,0.0002301129935525224
LGI,4,127.1678,62.3785,0,30.0,60.0,10,0.5600945871337861,0.00039805890302527995
LGI,50,43.4094,62.3785,0,30.0,60.0,10,0.5850878934160441,0.0001960578991443929
LGI,6,43.0872,62.3785,0,30.0,60.0,10,0.6419424985368755,0.0008238623333758581
LGI,69,147.7047,62.3785,0,30.0,60.0,10,0.38431064468880693,0.0005035796087834212
LGI,9,73.4497,62.3785,0,30.0,60.0,10,0.4924288681055726,6.52653084174685e-05
OMIT,10,41.2349,62.3785,0,30.0,60.0,10,0.5415655349728574,0.00044085093854056716
OMIT,101,42.8456,62.3785,0,30.0,60.0,10,0.47616996578806703,2.3794328666267616e-05
OMIT,104,41.396,62.3785,0,30.0,60.0,10,0.6018968018132855,0.0003278446564935845
OMIT,107,41.4765,62.3785,0,30.0,60.0,10,0.45439040547031684,4.380247871232073e-05
OMIT,108,41.9597,62.3785,0,30.0,60.0,10,0.6073649927509019,0.0003938536352761223
OMIT,109,47.1141,62.3785,0,30.0,60.0,10,0.5626697900512883,0.0007432434578283439
OMIT,135,127.5705,62.3785,0,30.0,60.0,10,0.3868325101237572,1.1363236921667304e-06
OMIT,151,132.1611,62.3785,0,30.0,60.0,10,0.4729834011749736,0.0008596230847530749
