Metodo,Patch,PPG_BPM,ECG_BPM,PPG_iRPM,PRE_iRPM,FS,Tempo,SQI1,SQI2
ICA,364,69.8552,54.4581,12.4281,12.0,30.0,30,0.5051547334960815,0.00011388124854962476
ICA,4,37.2628,54.4581,10.3567,12.0,30.0,30,0.37138118138147325,1.0926365169326731e-05
ICA,50,52.3764,54.4581,14.4994,12.0,30.0,30,0.7602799812105112,0.00019505783074235452
ICA,6,67.1292,54.4581,12.4281,12.0,30.0,30,0.3251751999046838,1.5886059008043231e-06
ICA,69,52.1759,54.4581,22.7848,12.0,30.0,30,0.5849716118643291,4.736372617334348e-05
ICA,9,52.7973,54.4581,10.3567,12.0,30.0,30,0.7283652646700389,4.019650446548972e-05
LGI,10,52.6771,54.4581,8.2854,12.0,30.0,30,0.7783585423593837,7.80593541702326e-05
LGI,101,52.6771,54.4581,12.4281,12.0,30.0,30,0.729859383418335,1.5989786690845113e-06
LGI,104,52.5367,54.4581,10.3567,12.0,30.0,30,0.7295630373528483,0.00016605336796534563
LGI,107,52.6771,54.4581,10.3567,12.0,30.0,30,0.6856202685635967,0.00040582398960889064
LGI,108,52.7171,54.4581,14.4994,12.0,30.0,30,0.7136127374835779,6.85616951517189e-05
LGI,109,52.7372,54.4581,8.2854,12.0,30.0,30,0.7893821457869039,8.757499756838841e-05
LGI,135,45.6013,54.4581,8.2854,12.0,30.0,30,0.492936742752483,2.6051532369537527e-05
LGI,151,52.6971,54.4581,8.2854,12.0,30.0,30,0.7601371638495917,0.00013146542289184176
LGI,18,48.7884,54.4581,10.3567,12.0,30.0,30,0.37665893895663904,0.00023583240655261837
LGI,188,52.6169,54.4581,14.4994,12.0,30.0,30,0.7522699225582048,4.6044792284384266e-05
LGI,199,89.8998,54.4581,24.8562,12.0,30.0,30,0.430949865609893,2.6114363464379417e-05
LGI,266,52.8374,54.4581,10.3567,12.0,30.0,30,0.7676499473000231,9.12330601314321e-05
LGI,280,52.4165,54.4581,8.2854,12.0,30.0,30,0.752668465118212,0.0001354594376821372
LGI,299,52.4766,54.4581,12.4281,12.0,30.0,30,0.7727202965884378,9.623162138308861e-05
LGI,330,52.7973,54.4581,8.2854,12.0,30.0,30,0.8156975354085557,0.00022983629703013313
LGI,333,52.5768,54.4581,10.3567,12.0,30.0,30,0.7263865232577731,8.50769686784917e-05
LGI,336,52.4766,54.4581,10.3567,12.0,30.0,30,0.7075906022681075,3.768289629502112e-05
LGI,337,52.7171,54.4581,8.2854,12.0,30.0,30,0.7940829019283138,0.00013534328083057514
LGI,338,52.7171,54.4581,8.2854,12.0,30.0,30,0.7731435919501093,2.2150425983184046e-05
LGI,347,52.8775,54.4581,8.2854,12.0,30.0,30,0.7962816544064671,8.745089285484069e-05
LGI,36,52.637,54.4581,10.3567,12.0,30.0,30,0.7759964940256443,9.53213027874567e-05
LGI,364,70.4967,54.4581,8.2854,12.0,30.0,30,0.4372575327049456,0.00012709787986692138
LGI,4,52.6771,54.4581,10.3567,12.0,30.0,30,0.6832723592259319,0.00017809440231067274
LGI,50,52.3764,54.4581,12.4281,12.0,30.0,30,0.7497916985378055,8.027189258162579e-05
LGI,6,52.4365,54.4581,8.2854,12.0,30.0,30,0.7735820239992287,0.00010502061119074311
LGI,69,52.7572,54.4581,8.2854,12.0,30.0,30,0.7707069577132437,6.513247379951577e-05
LGI,9,52.637,54.4581,10.3567,12.0,30.0,30,0.7509036813890843,9.320672418382376e-05
OMIT,10,52.6771,54.4581,8.2854,12.0,30.0,30,0.7778464163631238,1.3250923923597965e-05
OMIT,101,52.6771,54.4581,12.4281,12.0,30.0,30,0.7302806435335565,4.552408737012864e-05
OMIT,104,52.5367,54.4581,10.3567,12.0,30.0,30,0.730092133742366,3.367122878223263e-06
OMIT,107,52.6771,54.4581,10.3567,12.0,30.0,30,0.6866853418350796,1.2809734161144637e-05
OMIT,108,52.7171,54.4581,14.4994,12.0,30.0,30,0.7137970069876854,1.7516152931078584e-05
OMIT,109,52.7372,54.4581,8.2854,12.0,30.0,30,0.789463607020143,0.00017658551625853128
OMIT,135,45.6214,54.4581,8.2854,12.0,30.0,30,0.48889439527270273,4.466214742211167e-05
OMIT,151,52.6971,54.4581,8.2854,12.0,30.0,30,0.76028813586158,1.4670030717576896e-05
OMIT,18,48.7684,54.4581,10.3567,12.0,30.0,30,0.3800040810716466,2.2894067971465907e-05
OMIT,188,52.6169,54.4581,14.4994,12.0,30.0,30,0.7518581890649354,0.00017304671337728438
OMIT,199,89.8998,54.4581,24.8562,12.0,30.0,30,0.42302880783094354,1.6121693741463168e-05
OMIT,266,52.8374,54.4581,10.3567,12.0,30.0,30,0.7680685846403477,0.00041261107075989096
OMIT,280,52.4165,54.4581,8.2854,12.0,30.0,30,0.753617742771518,4.310610145700349e-05
OMIT,299,52.4766,54.4581,12.4281,12.0,30.0,30,0.7737824480438189,3.2896389462107026e-05
OMIT,330,52.7973,54.4581,8.2854,12.0,30.0,30,0.8161152739865531,1.868247372705374e-05
OMIT,333,52.5768,54.4581,10.3567,12.0,30.0,30,0.7274167735676312,1.4048119388398485e-05
OMIT,336,52.4967,54.4581,10.3567,12.0,30.0,30,0.7094845428153347,0.0001268219181877496
OMIT,337,52.7171,54.4581,8.2854,12.0,30.0,30,0.7943753469722454,2.814061478571421e-05
OMIT,338,52.7171,54.4581,8.2854,12.0,30.0,30,0.7734220703579306,0.00010793863481062657
OMIT,347,52.8775,54.4581,8.2854,12.0,30.0,30,0.7964102454524007,0.00012282267483183649
OMIT,36,52.637,54.4581,10.3567,12.0,30.0,30,0.7768334195218582,0.0001906792385540255
OMIT,364,70.4967,54.4581,8.2854,12.0,30.0,30,0.4309511978077355,3.939134523614022e-05
OMIT,4,52.6971,54.4581,10.3567,12.0,30.0,30,0.6910875249838204,6.828290625052583e-05
OMIT,50,52.3764,54.4581,12.4281,12.0,30.0,30,0.7493945976118861,0.0001222262936324196
OMIT,6,52.4365,54.4581,8.2854,12.0,30.0,30,0.7737992227677265,2.0343943217005045e-05
OMIT,69,52.7572,54.4581,8.2854,12.0,30.0,30,0.7711696235410387,6.737487582713817e-05
OMIT,9,52.637,54.4581,10.3567,12.0,30.0,30,0.7505699639852157,0.00020060472790629162
PBV,10,52.3563,54.4581,14.4994,12.0,30.0,30,0.7374448595278269,6.487972301619357e-05
PBV,101,52.6971,54.4581,12.4281,12.0,30.0,30,0.6890928210136706,0.00011602463803851576
PBV,104,53.3385,54.4581,10.3567,12.0,30.0,30,0.48975398750738497,7.486523937559931e-05
